YEAR,Murder & Manslaughter,Rape & Sexual Coercion,MURDER,SEXUAL_COERCION
2012-01,,,2126,8031
2012-02,,,2126,8031
2012-03,,,2126,8031
2012-04,,,2126,8031
2012-05,,,2126,8031
2012-06,,,2126,8031
2012-07,,,2126,8031
2012-08,,,2126,8031
2012-09,,,2126,8031
2012-10,,,2126,8031
2012-11,,,2126,8031
2012-12,,,2126,8031
2013-01,,,2122,7408
2013-02,,,2122,7408
2013-03,,,2122,7408
2013-04,,,2122,7408
2013-05,,,2122,7408
2013-06,,,2122,7408
2013-07,,,2122,7408
2013-08,,,2122,7408
2013-09,,,2122,7408
2013-10,,,2122,7408
2013-11,,,2122,7408
2013-12,,,2122,7408
2014-01,0.314,0.31,2179,7345
2014-02,0.314,0.31,2179,7345
2014-03,0.314,0.31,2179,7345
2014-04,0.314,0.31,2179,7345
2014-05,0.314,0.31,2179,7345
2014-06,0.314,0.31,2179,7345
2014-07,0.314,0.31,2179,7345
2014-08,0.314,0.31,2179,7345
2014-09,0.314,0.31,2179,7345
2014-10,0.314,0.31,2179,7345
2014-11,0.314,0.31,2179,7345
2014-12,0.314,0.31,2179,7345
2015-01,0.361,0.331,2116,7022
2015-02,0.361,0.331,2116,7022
2015-03,0.361,0.331,2116,7022
2015-04,0.361,0.331,2116,7022
2015-05,0.361,0.331,2116,7022
2015-06,0.361,0.331,2116,7022
2015-07,0.361,0.331,2116,7022
2015-08,0.361,0.331,2116,7022
2015-09,0.361,0.331,2116,7022
2015-10,0.361,0.331,2116,7022
2015-11,0.361,0.331,2116,7022
2015-12,0.361,0.331,2116,7022
2016-01,0.41,0.388,2418,7919
2016-02,0.41,0.388,2418,7919
2016-03,0.41,0.388,2418,7919
2016-04,0.41,0.388,2418,7919
2016-05,0.41,0.388,2418,7919
2016-06,0.41,0.388,2418,7919
2016-07,0.41,0.388,2418,7919
2016-08,0.41,0.388,2418,7919
2016-09,0.41,0.388,2418,7919
2016-10,0.41,0.388,2418,7919
2016-11,0.41,0.388,2418,7919
2016-12,0.41,0.388,2418,7919
