Date,Total,North_Africa,West_Africa,Arab_World,South_Asia,Southern_Europe
Jan-12,3108,170,440,1584,537,41
Feb-12,2644,140,413,1372,349,92
Mar-12,2697,137,446,1359,374,84
Apr-12,2226,119,445,1090,323,47
May-12,2439,148,452,1223,315,35
Jun-12,2840,154,444,1441,455,66
Jul-12,2957,169,478,1468,405,94
Aug-12,2984,129,495,1506,401,118
Sep-12,3052,153,439,1315,435,282
Oct-12,4339,197,617,1746,531,744
Nov-12,5101,220,839,1845,583,779
Dec-12,3322,161,528,1315,341,213
Jan-13,4920,303,808,1712,576,243
Feb-13,4071,254,790,1331,402,184
Mar-13,4120,235,935,1227,362,163
Apr-13,5502,272,1005,1336,485,191
May-13,5626,287,843,1171,515,159
Jun-13,6152,376,897,1519,563,206
Jul-13,6291,432,1221,1692,744,399
Aug-13,5801,636,1323,1520,607,364
Sep-13,6619,663,1896,1686,653,738
Oct-13,7353,1051,2215,1822,711,771
Nov-13,7104,773,2391,1888,577,797
Dec-13,5247,432,1780,1411,418,660
Jan-14,7496,616,2115,2178,670,1106
Feb-14,6107,524,1470,1857,473,1168
Mar-14,6271,502,1599,1655,530,1320
Apr-14,6568,490,2079,1799,512,1049
May-14,6857,632,2671,1436,459,1035
Jun-14,7472,675,2899,1526,529,1127
Jul-14,9414,561,3867,1945,632,1544
Aug-14,8876,574,3818,1985,610,1132
Sep-14,9114,614,3661,2221,702,906
Oct-14,9110,624,3070,2312,567,1323
Nov-14,8552,555,2680,2221,507,1480
Dec-14,7372,391,2036,2070,552,1368
Jan-15,9939,601,2483,3163,606,2141
Feb-15,9223,388,2174,2852,544,2297
Mar-15,10335,709,1693,2995,398,3613
Apr-15,13494,629,2058,3496,697,5548
May-15,14538,623,2673,3739,673,5632
Jun-15,20305,1130,4009,5456,1198,7061
Jul-15,20515,673,3693,5388,921,8756
Aug-15,19950,582,3383,5413,799,8884
Sep-15,20899,594,3336,7187,1294,7245
Oct-15,22002,562,3455,10246,1458,5078
Nov-15,20622,661,2861,10834,1698,3489
Dec-15,15264,502,1423,9782,849,1973
Jan-16,20932,724,1830,14988,996,1749
Feb-16,28626,1071,2692,21252,1239,1600
Mar-16,28149,796,3075,20652,1460,1203
Apr-16,31928,1205,4086,22068,1448,1580
May-16,30627,844,4183,21339,1422,1293
Jun-16,45229,1208,7447,29953,2502,1761
Jul-16,44590,1205,7716,29222,2554,1722
Aug-16,55993,2046,9395,36151,3363,2131
Sep-16,45632,1612,7901,28085,3113,2637
Oct-16,21745,1004,5760,11351,1350,871
Nov-16,17381,1056,5614,7523,1070,945
Dec-16,12860,930,4468,5137,706,661
Jan-17,11077,657,3879,4684,570,426
Feb-17,9759,623,3346,4248,476,331
Mar-17,11573,653,3597,5210,609,632
Apr-17,8436,532,2797,3501,445,466
May-17,9306,424,3028,4104,571,365
