Origin,region,sub-region,intermediate-region
Afghanistan,Asia,Southern Asia,
��land Islands,Europe,Northern Europe,
Albania,Europe,Southern Europe,
Algeria,Africa,Northern Africa,
American Samoa,Oceania,Polynesia,
Andorra,Europe,Southern Europe,
Angola,Africa,Sub-Saharan Africa,Middle Africa
Anguilla,Americas,Latin America and the Caribbean,Caribbean
Antarctica,,,
Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean
Argentina,Americas,Latin America and the Caribbean,South America
Armenia,Asia,Western Asia,
Aruba,Americas,Latin America and the Caribbean,Caribbean
Australia,Oceania,Australia and New Zealand,
Austria,Europe,Western Europe,
Azerbaijan,Asia,Western Asia,
Bahamas,Americas,Latin America and the Caribbean,Caribbean
Bahrain,Asia,Western Asia,
Bangladesh,Asia,Southern Asia,
Barbados,Americas,Latin America and the Caribbean,Caribbean
Belarus,Europe,Eastern Europe,
Belgium,Europe,Western Europe,
Belize,Americas,Latin America and the Caribbean,Central America
Benin,Africa,Sub-Saharan Africa,Western Africa
Bermuda,Americas,Northern America,
Bhutan,Asia,Southern Asia,
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,South America
"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean,Caribbean
Bosnia and Herzegovina,Europe,Southern Europe,
Botswana,Africa,Sub-Saharan Africa,Southern Africa
Bouvet Island,Americas,Latin America and the Caribbean,South America
Brazil,Americas,Latin America and the Caribbean,South America
British Indian Ocean Territory,Africa,Sub-Saharan Africa,Eastern Africa
Brunei Darussalam,Asia,South-eastern Asia,
Bulgaria,Europe,Eastern Europe,
Burkina Faso,Africa,Sub-Saharan Africa,Western Africa
Burundi,Africa,Sub-Saharan Africa,Eastern Africa
Cabo Verde,Africa,Sub-Saharan Africa,Western Africa
Cambodia,Asia,South-eastern Asia,
Cameroon,Africa,Sub-Saharan Africa,Middle Africa
Canada,Americas,Northern America,
Cayman Islands,Americas,Latin America and the Caribbean,Caribbean
Central African Republic,Africa,Sub-Saharan Africa,Middle Africa
Chad,Africa,Sub-Saharan Africa,Middle Africa
Chile,Americas,Latin America and the Caribbean,South America
China,Asia,Eastern Asia,
Christmas Island,Oceania,Australia and New Zealand,
Cocos (Keeling) Islands,Oceania,Australia and New Zealand,
Colombia,Americas,Latin America and the Caribbean,South America
Comoros,Africa,Sub-Saharan Africa,Eastern Africa
Congo,Africa,Sub-Saharan Africa,Middle Africa
Congo (Democratic Republic of the),Africa,Sub-Saharan Africa,Middle Africa
Cook Islands,Oceania,Polynesia,
Costa Rica,Americas,Latin America and the Caribbean,Central America
C̫te d'Ivoire,Africa,Sub-Saharan Africa,Western Africa
Croatia,Europe,Southern Europe,
Cuba,Americas,Latin America and the Caribbean,Caribbean
Cura̤ao,Americas,Latin America and the Caribbean,Caribbean
Cyprus,Asia,Western Asia,
Czechia,Europe,Eastern Europe,
Denmark,Europe,Northern Europe,
Djibouti,Africa,Sub-Saharan Africa,Eastern Africa
