,Baden-Württemberg,Bayren,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen-Anhalt,Sachsen,Schleswig-Holstein,Thüringen
2012-01,12.8,15.2,5,3.1,0.93,2.5,7.2,2.1,9.3,21.4,4.8,1.2,2.9,5.2,3.3,2.8
2012-02,12.8,15.2,5,3.1,0.93,2.5,7.2,2.1,9.3,21.4,4.8,1.2,2.9,5.2,3.3,2.8
2012-03,12.8,15.2,5,3.1,0.93,2.5,7.2,2.1,9.3,21.4,4.8,1.2,2.9,5.2,3.3,2.8
2012-04,12.8,15.2,5,3.1,0.93,2.5,7.2,2.1,9.3,21.4,4.8,1.2,2.9,5.2,3.3,2.8
2012-05,12.8,15.2,5,3.1,0.93,2.5,7.2,2.1,9.3,21.4,4.8,1.2,2.9,5.2,3.3,2.8
2012-06,12.8,15.2,5,3.1,0.93,2.5,7.2,2.1,9.3,21.4,4.8,1.2,2.9,5.2,3.3,2.8
2012-07,12.8,15.2,5,3.1,0.93,2.5,7.2,2.1,9.3,21.4,4.8,1.2,2.9,5.2,3.3,2.8
2012-08,12.8,15.2,5,3.1,0.93,2.5,7.2,2.1,9.3,21.4,4.8,1.2,2.9,5.2,3.3,2.8
2012-09,12.8,15.2,5,3.1,0.93,2.5,7.2,2.1,9.3,21.4,4.8,1.2,2.9,5.2,3.3,2.8
2012-10,12.8,15.2,5,3.1,0.93,2.5,7.2,2.1,9.3,21.4,4.8,1.2,2.9,5.2,3.3,2.8
2012-11,12.8,15.2,5,3.1,0.93,2.5,7.2,2.1,9.3,21.4,4.8,1.2,2.9,5.2,3.3,2.8
2012-12,12.8,15.2,5,3.1,0.93,2.5,7.2,2.1,9.3,21.4,4.8,1.2,2.9,5.2,3.3,2.8
2013-01,12.9,15.2,5,3,0.9,2.6,7.3,2.1,9.4,21.2,4.8,1.2,2.9,5.1,3.4,2.8
2013-02,12.9,15.2,5,3,0.9,2.6,7.3,2.1,9.4,21.2,4.8,1.2,2.9,5.1,3.4,2.8
2013-03,12.9,15.2,5,3,0.9,2.6,7.3,2.1,9.4,21.2,4.8,1.2,2.9,5.1,3.4,2.8
2013-04,12.9,15.2,5,3,0.9,2.6,7.3,2.1,9.4,21.2,4.8,1.2,2.9,5.1,3.4,2.8
2013-05,12.9,15.2,5,3,0.9,2.6,7.3,2.1,9.4,21.2,4.8,1.2,2.9,5.1,3.4,2.8
2013-06,12.9,15.2,5,3,0.9,2.6,7.3,2.1,9.4,21.2,4.8,1.2,2.9,5.1,3.4,2.8
2013-07,12.9,15.2,5,3,0.9,2.6,7.3,2.1,9.4,21.2,4.8,1.2,2.9,5.1,3.4,2.8
2013-08,12.9,15.2,5,3,0.9,2.6,7.3,2.1,9.4,21.2,4.8,1.2,2.9,5.1,3.4,2.8
2013-09,12.9,15.2,5,3,0.9,2.6,7.3,2.1,9.4,21.2,4.8,1.2,2.9,5.1,3.4,2.8
2013-10,12.9,15.2,5,3,0.9,2.6,7.3,2.1,9.4,21.2,4.8,1.2,2.9,5.1,3.4,2.8
2013-11,12.9,15.2,5,3,0.9,2.6,7.3,2.1,9.4,21.2,4.8,1.2,2.9,5.1,3.4,2.8
