Date,Total
2012-01,3108
2012-02,2644
2012-03,2697
2012-04,2226
2012-05,2439
2012-06,2840
2012-07,2957
2012-08,2984
2012-09,3052
2012-10,4339
2012-11,5101
2012-12,3322
2013-01,4920
2013-02,4071
2013-03,4120
2013-04,5502
2013-05,5626
2013-06,6152
2013-07,6291
2013-08,5801
2013-09,6619
2013-10,7353
2013-11,7104
2013-12,5247
2014-01,7496
2014-02,6107
2014-03,6271
2014-04,6568
2014-05,6857
2014-06,7472
2014-07,9414
2014-08,8876
2014-09,9114
2014-10,9110
2014-11,8552
2014-12,7372
2015-01,9939
2015-02,9223
2015-03,10335
2015-04,13494
2015-05,14538
2015-06,20305
2015-07,20515
2015-08,19950
2015-09,20899
2015-10,22002
2015-11,20622
2015-12,15264
2016-01,20932
2016-02,28626
2016-03,28149
2016-04,31928
2016-05,30627
2016-06,45229
2016-07,44590
2016-08,55993
2016-09,45632
2016-10,21745
2016-11,17381
2016-12,12860
,
,
,
,
,
