CITY,LATITUDE,LONGITUDE
aach,47.85,8.85
aachen,50.7708,6.1053
aach linz,47.9,9.2
aalen,48.8333,10.1
aarbergen,50.25,8.0667
aasbuttel,54.0667,9.4333
aasen,47.9833,8.55
abach,48.9333,12.05
abbendorf,52.75,10.9167
abbenrode,52.25,10.7333
abbensen,52.3833,10.1833
abbenseth,53.5667,9.1
abberode,51.6167,11.2833
abbesbuttel,52.35,10.5667
abenberg,49.25,10.9667
abenheim,49.6772,8.2811
abens,53.6,7.7333
abensberg,48.8167,11.85
abentheuer,49.65,7.1
abersdorf,47.85,12.25
abersfeld,50.0667,10.3833
ablach,48.0167,9.2167
ablass,51.2333,12.95
abort,54.8833,8.45
absberg,49.15,10.8833
abspann,49.8333,12
abstatt,49.0711,9.2928
abstetter hof,49.0333,9.2667
abtei,49.6833,6.95
abteroda,50.9,10.0667
abterode,51.2,9.9333
abtlobnitz,51.0833,11.7167
abtsbessingen,51.25,10.7667
abtsdorf,51.9,12.7167
abtsgmund,48.8833,10
abtshagen,54.1833,13.0167
abtsteinach,49.5367,8.7875
abtswind,49.7667,10.3667
abtweiler,49.75,7.65
accum,53.55,8.0167
achberg,47.7167,12.4
achen,47.7,10.05
achenbach,50.8667,7.9667
achenmuhle,47.7833,12.2167
achering,48.35,11.7167
achern,48.6333,8.0667
achim,53.0333,9.0167
achkarren,48.0684,7.6277
achmer,52.4,7.9333
acholshausen,49.6447,9.9947
achselschwang,48.0333,11.05
achsheim,48.4833,10.8167
achslach,48.9667,12.9333
achstetten,48.2667,9.9
acht,50.3667,7.0667
achtelsbach,49.6167,7.0833
achterberg,52.2833,7.0667
achterhoek,51.5833,6.35
achternmeer,53.0833,8.1
achterwehr,54.3167,9.9667
achtrup,54.7833,9.0333
achum,52.2833,9.0833
ackendorf,52.2167,11.4333
acker,47.6,10.3667
ackerbach,50.2333,7.9833
ackerfelde,53.2333,12.35
ackern,54.7333,8.9667
adamsdorf,53.4333,13.0167
adamshof,53.7,13.0833
adamshoffnung,53.45,12.3667
adamswalde,53.1833,12.9333
addebull,54.6667,8.9
addenstorf,53.1,10.5
addrup,52.7333,8.0167
adelberg,48.7667,9.6
adelebsen,51.5833,9.75
adelhausen,47.6167,7.7667
adelheidsdorf,52.55,10.05
adelholzen,47.8167,12.6167
adelmannsdorf,49.2167,10.75
adelmannsfelden,48.95,10.0167
adelmannssitz,49.3333,10.6833
adelsberg,47.7167,7.8333
adelsborn,51.45,10.35
adelschlag,48.8333,11.2167
adelsdorf,51.3167,13.5833
adelshausen,48.15,10.9333
adelsheim,49.4036,9.3933
adelshofen,48.1833,11.1167
adelsried,48.4167,10.7167
adelstetten,48.85,9.75
adelzhausen,48.35,11.1333
adenau,50.3833,6.9333
adenbach,49.6667,7.65
adenberg,48.5833,13.1167
adenbuttel,52.3833,10.45
adendorf,53.2833,10.45
adensen,52.1833,9.7333
adenstedt,52.25,10.1667
adersbach,49.2639,8.9567
adersheim,52.15,10.4667
adersleben,51.9,11.1833
aderstedt,51.7667,11.6833
adldorf,48.6333,12.8333
adlersberg,49.05,12.0167
adlershof,52.45,13.5333
adlhausen,48.7833,12.0167
adlkofen,48.55,12.2667
adlum,52.2333,10.0667
admannshagen,54.1333,12
admannshagen bargeshagen,54.1167,11.9833
adolzfurt,49.1656,9.4486
adorf,50.3167,12.2667
aebtissinwisch,53.9667,9.2833
aegidienberg,50.6667,7.3
aegypten,52.45,7.85
aengenesch,51.5333,6.3667
aerding,48.3,11.9333
aerzen,52.0333,9.2667
affalter,50.65,12.7667
affalterbach,48.9167,9.3167
affaltern,48.4833,10.7333
affalterthal,49.7,11.2833
affalterwang,48.8167,10.2
affaltrach,49.1367,9.3839
affhollerbach,49.75,8.9
affing,48.4667,10.9833
affinghausen,52.7833,8.8833
affler,50.0167,6.15
affoldern,51.1667,9.1
affolterbach,49.5956,8.8556
afholderbach,50.9333,8.1333
aflen,50.1833,7.0333
aftersberg,47.8333,7.9333
aftholderbach,50.2167,7.85
aftholderberg,47.9,9.2333
aga,50.95,12.0833
agatharied,47.7667,11.8333
agathenburg,53.5667,9.5333
agawang,48.3667,10.6833
agelsberg,48.65,11.5
agenbach,48.7,8.5833
agethorst,54.0167,9.4333
agg,47.6667,12.15
aglasterhausen,49.3569,8.9869
agnesdorf,51.4833,11.0833
agneshof,53.7833,13.75
agterhorn,52.6167,6.7667
aham,48.0167,12.2333
ahaus,52.0667,7
ahausen,52.55,7.9167
ahden,51.6,8.6333
ahe,50.8333,7.45
ahegg,47.7167,9.85
ahl,50.3,9.4
ahlbach,50.4333,8.0833
ahlbeck,53.9333,14.2
ahlberg,51.45,9.5167
ahlbershausen,51.6167,9.65
ahlde,52.35,7.3333
ahlden,52.7667,9.55
ahldorf,48.45,8.75
ahle,52.1,7.05
ahlefeld,54.4,9.6667
ahlem,52.3833,9.6667
ahlen,51.75,7.9167
ahlenberg,51.4167,7.4667
ahlendorf,50.9833,11.9833
ahlerstedt,53.4,9.45
ahlhorn,52.9,8.2333
ahlintel,52.15,7.4667
ahlke,51.6833,8.2667
ahlsdorf,51.8333,13.2167
ahlsen,52.3,8.6667
ahlstadt,50.5333,10.6833
ahlten,52.3667,9.9
ahlum,52.1667,10.6
ahmsen,52.7833,7.6333
ahmstorf,52.3167,10.9
ahnatal,51.35,9.3833
ahnebeck,52.5333,10.9
ahneby,54.7167,9.7333
ahnsbeck,52.6167,10.3
ahnsen,52.2667,9.1
aholfing,48.95,12.4667
aholming,48.7333,12.9167
ahorn,50.2333,10.95
ahornberg,49.85,12.45
ahornhof,49.5333,9.6
ahorntal,49.85,11.4333
ahrbergen,52.2333,9.8833
ahrbruck,50.4667,6.9833
ahrdt,50.7,8.4667
ahrem,50.7833,6.7667
ahrendsee,54.2167,13.1333
ahrensberg,54.4833,9.6833
ahrensbock,54.0167,10.5833
ahrensboek,53.7167,11.5333
ahrensbok,54.0167,10.5833
ahrensburg,53.6833,10.25
ahrensdorf,52.1667,14.0833
ahrensfelde,52.5833,13.5833
ahrenshagen,53.6833,12.3167
ahrenshoft,54.55,9.0667
ahrenshoop,54.3833,12.4333
ahrensmoor,53.3833,9.5
ahrenswohlde,53.3833,9.4667
ahrenviol,54.5333,9.2
ahrenviolfeld,54.5333,9.2833
ahrhutte,50.4,6.7333
ahrweiler,50.55,7.0833
ahsen,51.7,7.3167
ahsen oetz,52.9667,9.0833
ahstedt,52.2167,10.1
ahutte,50.3333,6.7667
aibling,47.8667,12
aich,48.6167,9.2333
aicha,48.4667,11.1333
aicha vorm wald,48.6833,13.3
aichach,48.4667,11.1333
aichat,48.0333,12.0333
aichelau,48.2833,9.4
aichelberg,48.6333,9.5667
aichen,47.6833,8.2667
aichhalden,48.2667,8.4167
aichhof,49.1667,11.8
aichschiess,48.75,9.4
aichstetten,47.9,10.0833
aichtal,48.6333,9.2667
aichwald,48.7667,9.3833
aidenau,49.3667,10.2667
aidenbach,48.5667,13.1
aidenried,47.95,11.15
aidhausen,50.15,10.4333
